,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,DATE,SOURCE_ID,EXTERNAL_REFERENCE,RECORD_TYPE,DESCRIPTION,NET_CREDIT_AMOUNT,NET_DEBIT_AMOUNT,GROSS_AMOUNT,SELLER_AMOUNT,MP_FEE_AMOUNT,FINANCING_FEE_AMOUNT,SHIPPING_FEE_AMOUNT,TAXES_AMOUNT,COUPON_AMOUNT,INSTALLMENTS,PAYMENT_METHOD,TAX_DETAIL,TAX_AMOUNT_TELCO,TRANSACTION_APPROVAL_DATE,POS_ID,POS_NAME,EXTERNAL_POS_ID,STORE_ID,STORE_NAME,EXTERNAL_STORE_ID,CURRENCY,TAXES_DISAGGREGATED,SHIPPING_ID,SHIPMENT_MODE,ORDER_ID,PACK_ID,METADATA,EFFECTIVE_COUPON_AMOUNT,POI_ID,CARD_INITIAL_NUMBER,OPERATION_TAGS,ITEM_ID,POI_BANK_NAME,POI_WALLET_NAME,BUSINESS_UNIT,SUB_UNIT,BALANCE_AMOUNT,PAYOUT_BANK_ACCOUNT_NUMBER,PRODUCT_SKU,SALE_DETAIL
1,2023-12-31T00:00:00.000-03:00,,,initial_available_balance,,47863.42,0.00,47863.42,0.00,0.00,0.00,0.00,0.00,0.00,1,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,47863.42,,,
2,2023-12-31T07:11:52.000-03:00,68507952754,2000007107156944,release,payment,2212.75,0.00,2650.00,0.00,-437.25,0.00,0.00,0.00,0.00,1,master,,0.00,2023-12-10T09:58:26.000-03:00,,,,,,,BRL,"""[]""",42890703844,custom,2000007107156944,,"""{""official_store_id"":null}""",0.00,,534520,,MLB3428434259,,,Mercado Libre, ,50076.17,,,"""""""Bebedouro Industrial 100  - Ideal P Academia Escolas Igrejas"""""""
3,2023-12-31T11:08:08.000-03:00,67884783703,2000007045006248,release,payment,2212.75,0.00,2650.00,0.00,-437.25,0.00,0.00,0.00,0.00,1,pix,,0.00,2023-12-03T12:06:11.000-03:00,,,,,,,BRL,"""[]""",42864116170,custom,2000007045006248,,"""{""official_store_id"":null}""",0.00,,,pix,MLB3428434259,,,Mercado Libre, ,52288.92,,,"""""""Bebedouro Industrial 100  - Ideal P Academia Escolas Igrejas"""""""
4,2024-01-01T07:06:42.000-03:00,68108907092,2000007051188056,release,payment,2212.75,0.00,2650.00,0.00,-437.25,0.00,0.00,0.00,0.00,1,visa,,0.00,2023-12-04T08:02:46.000-03:00,,,,,,,BRL,"""[]""",42866629758,custom,2000007051188056,,"""{""official_store_id"":null}""",0.00,,467567,,MLB3428434259,,,Mercado Libre, ,54501.67,,,"""""""Bebedouro Industrial 100  - Ideal P Academia Escolas Igrejas"""""""
5,2024-01-01T07:25:26.000-03:00,67922261985,2000007051269100,release,payment,1918.83,0.00,2298.00,0.00,-379.17,0.00,0.00,0.00,0.00,1,visa,,0.00,2023-12-04T08:24:49.000-03:00,,,,,,,BRL,"""[]""",42866671500,custom,2000007051269100,,"""{""official_store_id"":null}""",0.00,,441174,,MLB1346937656,,,Mercado Libre, ,56420.50,,,"""""""Bebedouro Refrigerador Industrial Inox 50 Litros C/ Filtro"""""""
6,2024-01-01T11:50:21.000-03:00,68124958888,2000007053510856,release,reserve_for_dispute,0.00,1918.83,-1918.83,0.00,0.00,0.00,0.00,0.00,0.00,10,master,,0.00,2024-01-01T11:50:21.000-03:00,,,,,,,BRL,"""[]""",42867539023,custom,2000007053510856,,"""{""official_store_id"":null}""",0,,550209,,MLB1346937656,,,Mercado Libre, ,54501.67,,,"""""""Bebedouro Refrigerador Industrial Inox 50 Litros C/ Filtro"""""""
7,2024-01-01T11:52:10.000-03:00,68124958888,2000007053510856,release,payment,1918.83,0.00,2298.00,0.00,-379.17,0.00,0.00,0.00,0.00,1,master,,0.00,2023-12-04T12:54:34.000-03:00,,,,,,,BRL,"""[]""",42867539023,custom,2000007053510856,,"""{""official_store_id"":null}""",0.00,,550209,,MLB1346937656,,,Mercado Libre, ,56420.50,,,"""""""Bebedouro Refrigerador Industrial Inox 50 Litros C/ Filtro"""""""
8,2024-01-01T16:35:30.000-03:00,68352118231,2000007112664316,release,payment,2212.75,0.00,2650.00,0.00,-437.25,0.00,0.00,0.00,0.00,1,master,,0.00,2023-12-10T21:31:16.000-03:00,,,,,,,BRL,"""[]""",42892904891,custom,2000007112664316,,"""{""official_store_id"":null}""",0.00,,516096,,MLB3428434259,,,Mercado Libre, ,58633.25,,,"""""""Bebedouro Industrial 100  - Ideal P Academia Escolas Igrejas"""""""
9,2024-01-01T21:25:44.000-03:00,67972200055,2000007059112754,release,payment,1918.83,0.00,2298.00,0.00,-379.17,0.00,0.00,0.00,0.00,1,visa,,0.00,2023-12-04T22:24:21.000-03:00,,,,,,,BRL,"""[]""",42870062252,custom,2000007059112754,,"""{""official_store_id"":null}""",0.00,,406669,,MLB1346937656,,,Mercado Libre, ,60552.08,,,"""""""Bebedouro Refrigerador Industrial Inox 50 Litros C/ Filtro"""""""
